,hostname,planet_letter,ra,dec,parallax,parallax_error,distance,distance_error,dist_error_pct
88,HD 145457,b,242.516312,26.742750000000001,7.1056688776783554,0.38089780491215935,140.73270471994346,7.5439454370820487,5.3604778307177554
89,HD 145934,b,243.29114000000001,13.239476,4.1610839798857731,0.38634330620528839,240.32199418081711,22.313126635866102,9.2846793785664961
90,HD 148156,b,247.07200599999999,-46.317622999999998,17.496593698506132,0.42635446101187768,57.153981925372165,1.3927199532875469,2.4367855158474647
91,HD 148427,b,247.11729399999999,-13.39964,14.17278354753272,0.5197156687378488,70.5577698725305,2.5873519080404743,3.6669978553953424
92,HD 149026,b,247.623413,38.347309000000003,13.041493842554624,0.37042425143016311,76.678332411351704,2.1779340792775597,2.8403513884388172
93,HD 149143,b,248.21270799999999,2.084832,13.454102080393627,0.38985640064950733,74.326773650489727,2.1537497095029323,2.8976768447270573
94,HD 150706,b,247.823273,79.789771999999999,35.373547392256881,0.42972422103285057,28.26971207922719,0.34342555094511262,1.2148180002068873
95,HD 152581,b,253.43159499999999,11.973746,5.9562802818752436,0.40623441173640323,167.89001737258164,11.450552898140756,6.8202702443765206
96,HD 154672,b,257.52047700000003,-56.449267999999996,16.117499476875818,0.38996167937306225,62.044363732396903,1.5011586823025296,2.4194924276718615
97,HD 154857,b,257.81552099999999,-56.680798000000003,15.555498847299152,0.49450149948639693,64.285948642118058,2.0436180357502569,3.1789497999432883
98,HD 154857,c,257.81552099999999,-56.680798000000003,15.555498847299152,0.49450149948639693,64.285948642118058,2.0436180357502569,3.1789497999432883
99,HD 158038,b,261.439301,27.303341,10.402781031376957,0.43062602662764882,96.128140829244742,3.9792512413309411,4.139527933240073
100,HD 159243,b,263.33978300000001,5.7007329999999996,13.488371070336102,0.44538178333802436,74.137936655614425,2.4480114217273128,3.3019686440679035
101,HD 159243,c,263.33978300000001,5.7007329999999996,13.488371070336102,0.44538178333802436,74.137936655614425,2.4480114217273128,3.3019686440679035
102,HD 1605,b,5.1313300000000002,30.974803999999999,11.147202748787224,0.3978783501970371,89.70860426027474,3.2019792109226946,3.5693111461557017
103,HD 1605,c,5.1313300000000002,30.974803999999999,11.147202748787224,0.3978783501970371,89.70860426027474,3.2019792109226946,3.5693111461557017
104,HD 16175,b,39.257961000000002,42.062634000000003,17.138765687974445,0.39984829464246824,58.347258968693303,1.3612445855458659,2.3330051995694481
105,HD 162020,b,267.65982100000002,-40.318348,32.520531930916235,0.38249676890978374,30.749804527315611,0.36167000285515583,1.1761700876305661
106,HD 164509,b,270.38012700000002,0.104556,18.565417205914347,0.38567776543096127,53.863588892655322,1.1189615817302141,2.0773988602211251
107,HD 164604,b,270.77890000000002,-28.560644,25.948329880352862,0.40593102539281262,38.538125752639047,0.60288353723030408,1.5643820903485928
108,HD 1666,b,5.2180850000000003,-19.931225000000001,8.4722679425832315,0.38016074302178482,118.03214992455675,5.2962430036291765,4.4871189815778205
109,HD 166724,b,273.49865699999998,-42.575375000000001,22.340531210335762,0.44527085908508091,44.761693022650853,0.89214877294759132,1.9931077506298418
110,HD 168746,b,275.45742799999999,-11.922684,23.785394592742602,0.4296661145630406,42.04260711760989,0.75946958020346034,1.806428364632388
111,HD 1690,b,5.3054969999999999,-8.2811690000000002,1.4843340713462341,0.51430301640381659,673.70278652502952,233.42951021479178,34.648737526947926
112,HD 170469,b,277.29574600000001,11.695501999999999,16.514721037477518,0.38051937531374236,60.552037042022086,1.3951930073124736,2.304122330920483
113,HD 17092,b,41.592117000000002,49.653075999999999,4.4382898238353281,0.39055417138353932,225.31200973618584,19.826678463560587,8.7996545265276005
114,HD 171028,b,278.064527,6.9457430000000002,8.8599034301058186,0.37610975613669134,112.86804736516824,4.7913359445759713,4.2450773770137946
115,HD 171238,b,278.68197600000002,-28.072313000000001,22.688651601199247,0.48361015296738574,44.074897776082175,0.9394594456369697,2.1315068055512989
116,HD 17156,b,42.435364,71.753235000000004,12.528237245616449,0.38928635423030844,79.819688947053876,2.4802145023928244,3.1072715705995848
117,HD 175541,b,283.92034899999999,4.2653249999999998,7.3519345597167955,0.4095923521097744,136.01862093268156,7.5778948283635064,5.5712186878544845
118,HD 177830,b,286.33654799999999,25.920660000000002,15.938216429668056,0.47490504156339275,62.742277620133116,1.8695080527019683,2.9796623960971247
119,HD 177830,c,286.33654799999999,25.920660000000002,15.938216429668056,0.47490504156339275,62.742277620133116,1.8695080527019683,2.9796623960971247
120,HD 180314,b,288.70919800000001,31.86035,8.2394587716657242,0.40809124836076732,121.36719506854644,6.0111824718257445,4.9528890145567885
121,HD 180902,b,289.82379200000003,-23.558154999999999,10.112958656984206,0.41149752589639454,98.88303056686388,4.0235626201537613,4.0690122431402038
122,HD 181342,b,290.26763899999997,-23.619572000000002,8.3348378717673786,0.39747320758362814,119.9783385574065,5.7215480133694196,4.7688175066966849
